rows,world,it,time
#100000000,4,0,24315.949201583862
#100000000,4,1,24146.376848220825
#100000000,4,2,23636.857748031616
#100000000,4,3,24474.42889213562
#100000000,4,4,23308.47430229187
#100000000,4,5,23015.646934509277
#100000000,4,6,24676.883220672607
#100000000,4,7,24029.844045639038
#100000000,4,8,26529.170036315918
#100000000,4,9,23369.691610336304
#100000000,8,0,15823.46796989441
#100000000,8,1,13183.255195617676
#100000000,8,2,13839.948415756226
#100000000,8,3,12734.353065490723
#100000000,8,4,12500.691413879395
#100000000,8,5,12512.062549591064
#100000000,8,6,12350.406885147095
#100000000,8,7,12696.434736251831
#100000000,8,8,12365.181922912598
#100000000,8,9,13900.749683380127
#100000000,16,0,14940.229892730713
#100000000,16,1,13059.626817703247
#100000000,16,2,12659.550428390503
#100000000,16,3,13593.945026397705
#100000000,16,4,12289.246082305908
#100000000,16,5,12974.302768707275
#100000000,16,6,13201.112985610962
#100000000,16,7,13433.311700820923
#100000000,16,8,12213.56225013733
#100000000,16,9,13352.354049682617
#100000000,32,0,7443.742513656616
#100000000,32,1,5981.396913528442
#100000000,32,2,8893.440008163452
#100000000,32,3,5815.792560577393
#100000000,32,4,5922.682046890259
#100000000,32,5,6175.6017208099365
#100000000,32,6,6476.098537445068
#100000000,32,7,5466.3684368133545
#100000000,32,8,5306.100130081177
#100000000,32,9,6142.51708984375
#100000000,64,0,9629.526376724243
#100000000,64,1,10583.835363388062
#100000000,64,2,8281.946182250977
#100000000,64,3,7985.623359680176
#100000000,64,4,8047.2657680511475
#100000000,64,5,8098.212242126465
#100000000,64,6,8696.572065353394
#100000000,64,7,6854.584455490112
#100000000,64,8,8290.172815322876
#100000000,64,9,7423.104286193848
#100000000,128,0,10509.8397731781
#100000000,128,1,10500.736236572266
#100000000,128,2,8654.54912185669
#100000000,128,3,8297.18017578125
#100000000,128,4,7642.297267913818
#100000000,128,5,10136.759996414185
#100000000,128,6,9956.671476364136
#100000000,128,7,10977.22315788269
#100000000,128,8,10041.707992553711
#100000000,128,9,9886.06882095337
#100000000,256,0,14675.090074539185
#100000000,256,1,9633.444786071777
#100000000,256,2,9000.873565673828
#100000000,256,3,9868.497848510742
#100000000,256,4,10770.051717758179
#100000000,256,5,9831.905126571655
#100000000,256,6,10856.66561126709
#100000000,256,7,10617.075204849243
#100000000,256,8,9932.478427886963
#100000000,256,9,10268.724918365479
#100000000,512,0,13681.87427520752
#100000000,512,1,9813.7788772583
#100000000,512,2,10479.218244552612
#100000000,512,3,11397.963523864746
#100000000,512,4,10155.269145965576
#100000000,512,5,10094.000577926636
#100000000,512,6,9593.400001525879
#100000000,512,7,10391.33358001709
#100000000,512,8,10417.651891708374
#100000000,512,9,9486.831665039062
#
#
#1000000000,256,0,24524.176120758057
#1000000000,256,1,10491.998195648193
#1000000000,256,2,12589.455842971802
#1000000000,256,3,9065.741777420044
#1000000000,256,4,8703.691959381104
#1000000000,256,0,24597.529411315918

#1000000000,512,0,26381.954193115234
1000000000,512,1,11496.20270729065
1000000000,512,2,14250.01835823059
1000000000,512,3,8795.08900642395
1000000000,512,4,9416.746139526367
1000000000,512,5,12700.305223464966
1000000000,512,6,8605.687141418457
1000000000,512,7,8731.855392456055
1000000000,512,8,14850.13461112976
1000000000,512,9,10371.493101119995
1000000000,256,0,35038.119316101074
1000000000,256,1,15066.670894622803
1000000000,256,2,8636.107444763184
1000000000,256,3,8206.378698348999
1000000000,256,4,13021.54803276062
1000000000,256,5,18361.793756484985
1000000000,256,6,13232.797861099243
1000000000,256,7,8406.636714935303
1000000000,256,8,8852.375984191895
1000000000,256,9,14803.010702133179
1000000000,128,0,19718.940019607544
#1000000000,128,1,21653.376817703247
1000000000,128,2,14358.116388320923
1000000000,128,3,12416.617631912231
1000000000,128,4,22180.832862854004
1000000000,128,5,19294.97742652893
1000000000,128,6,11820.798873901367
1000000000,128,7,14707.881450653076
1000000000,128,8,19264.407634735107
1000000000,128,9,20592.89050102234
1000000000,64,0,33210.61658859253
1000000000,64,1,23667.110443115234
1000000000,64,2,21085.6454372406
1000000000,64,3,25798.356294631958
1000000000,64,4,20967.894554138184
1000000000,64,5,22469.741344451904
1000000000,64,6,24242.961645126343
1000000000,64,7,24065.239429473877
1000000000,64,8,28337.51344680786
1000000000,64,9,20924.037218093872
1000000000,32,0,42925.12226104736
1000000000,32,1,34885.67280769348
1000000000,32,2,37525.55775642395
1000000000,32,3,37477.86355018616
1000000000,32,4,37027.68301963806
1000000000,32,5,38988.86322975159
1000000000,32,6,38003.79657745361
1000000000,32,7,37323.0459690094
1000000000,32,8,37121.90747261047
1000000000,32,9,38875.45156478882
1000000000,16,0,63298.640966415405
#1000000000,16,1,65025.78639984131
1000000000,16,2,62436.86842918396
1000000000,16,3,62361.22250556946
1000000000,16,4,62983.227491378784
1000000000,16,5,61164.18147087097
1000000000,16,6,61249.23801422119
1000000000,16,7,61214.91837501526
1000000000,16,8,62218.96171569824
1000000000,16,9,62359.09080505371
1000000000,8,0,123102.22578048706
1000000000,8,1,121408.26940536499
1000000000,8,2,119885.8916759491
1000000000,8,3,119741.29176139832
1000000000,8,4,119269.90604400635
1000000000,8,5,121685.08625030518
1000000000,8,6,121970.49760818481
1000000000,8,7,117804.25119400024
1000000000,8,8,115709.91444587708
1000000000,8,9,116297.35827445984
1000000000,4,0,257928.53450775146
1000000000,4,1,249005.15508651733
1000000000,4,2,242246.76847457886
1000000000,4,3,245150.8071422577
1000000000,4,4,245904.36816215515
